,,,
,,,
,,,
star wars,MD01,,
pulp fiction,MD02,,
bastardos inglórios,MD03,,
motoqueiro fantasma,MD04,,
rei arthur,MD05,,
kill bill,MD06,,
central do brasil,MD07,,
o poço,MD08,,
highlander,MD09,,
o vidente,MD10,,
o coringa,MD11,,
marley e eu,MD12,,
o pequeno príncipe,MD13,,
coração valente,MD14,,
a lenda do cavaleiro sem cabeça,MD15,,
a bela e a fera,MD16,,
garota exemplar,MD17,,
inception,MD18,,
interestelar,MD19,,
o fabuloso destino de amélie poulain,MD20,,
minha mãe é uma peça,MD21,,
forrest gump,MD22,,
expresso do amanhã,MD23,,
triângulo do medo,MD24,,
um contratempo,MD25,,
vingadores,MD26,,
hereditário,MD27,,
sem limites,MD28,,
falcão negro em perigo,MD29,, 
planeta dos macacos,MD30,,
logan,MD31,,
a lista de schindler,MD32,,
o preço do amanhã,MD33,,
a origem,MD34,,
o menino do pijama listrado,MD35,, 
bad boys,MD36,,
loucademia de polícia,MD37,,
homem de ferro,MD38,,
blade,MD39,,
um tira da pesada,MD40,,
o lobo de wall street,MD41,,
esquadrão classe a,MD42,,
sexta feira 13,MD43,,
bird box,MD44,,
o predestinado,MD45,, 
era uma vez em hollywood,MD46,,
os oito odiados,MD47,,
dr. dolittle,MD48,, 
o campo do medo,MD49,,
john carter,MD50,,
lagoa azul,MD51,,
o regresso,MD52,,
fim dos tempos,MD53,,
star treck,MD54,
