,Tweet,classe
0,EU TINHA FALADO QUARTO PERDÃO!!!,perdão
1,"RT @UrbanNathalia: A advogada de Julian Assange, Jennifer Robinson, disse hoje no tribunal em Londres, que os representantes de Trump ofere…",perdão
2,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
3,@haileychanges amg KKKKK perdao,perdão
4,"RT @peachiuy: QUEM É O T3ddy

para o cego, é a luz
para o faminto, é o pão
para o enfermo, é a cura
para o triste, é alegria
para o pobre,…",perdão
5,"RT @tommoinfo: De acordo com a preferência de vocês, nós estaremos adiando o sorteio de Ingresso PC do show de São Paulo para o dia 30/09.…",perdão
6,"RT @nudezzin: AAAAAAAAA É MIO ANIVERSÁRIO &lt;333333

JEKSJDJSKEJJDJSJEJ😔🤲❤❤❤❤❤❤❤❤❤❤❤❤❤✨✨

muito obrigade pelo apoio de todos e perdão pelo de…",perdão
7,@wanggggx Perdão...,perdão
8,"Continuação!
Kkkkkkk eu mereço. 

O seu perdão, foi o block que te dei. https://t.co/XUQKW0fOog https://t.co/01bUcfWW08",perdão
9,"@hiraethprepon Não tem problema, eu que peço perdão e agradeço por me alertar, muito obrigada kkkk",perdão
10,"quer sair blz, mas achar isso bonito e achar q ta certa kkkkk pelo amor de geová neh fia, encontrou a vergonha e en… https://t.co/4qnxfMfmKC",amor
11,"Em terra de músicas que são cantadas por mulheres, que fazem sucesso absoluto com letras reprodutoras de machismo,… https://t.co/Wlk8VAlUwP",amor
12,odeio essa garota mas superem ela pelo amor nem eu aguento mais um exposed a cada dois meses,amor
13,RT @gabrielraposo_1: E a minha namorada que decidiu me dar uma aliança no dia que a gnt estava saindo pra jantar pois eu iria dar uma alian…,amor
14,@xzduda sim amor!!!,amor
15,"É magia te encontrar
Em plena noite de encantos
Pois a noite é sempre amiga do amor",amor
16,Mano dor infernal nas costa pelo amor de deus desculpa ter te xingado togashi,amor
17,"RT @jornalodia: De acordo com portais de notícias gospel, o pastor é Edson Araújo, da igreja Deus é Amor, de São Paulo.
#ODia 

https://t.c…",amor
18,RT @jilmartatto: Hoje é o Dia Nacional do Teatro. Façamos deste 19 de setembro um ato de amor e resistência por essa que é uma das mais ant…,amor
19,"RT @revistaforum: Pastor, identificado como Edson Araújo, da Igreja Deus é Amor, de São Paulo, agride uma mulher sem saber que a câmera est…",amor
20,@conanruel PARECE Q TO DERRETENDO ÓDIO,ódio
21,Até quando vocês vão sexualizar eles por qualquer coisa? Que ódio https://t.co/xubwlur4AJ,ódio
22,"RT @flaamor1981: O BRAZ DISSE QUE OS JOGADORES SE EMPENHARAM EM CAMPO NA PARTIDA CONTRA O DEL VALLE, CARALHO VAI TOMAR NO CU, PARA DE PASSA…",ódio
23,"Que ódio da vidotti , muito gata credo vey https://t.co/wsFoKVwUdQ",ódio
24,q ódio no final eu sempre vou me sentir culpada,ódio
25,quer me matar é ganhar culpa do que eu não fiz!!!! Que ódio,ódio
26,"RT @yasminpxj: sou mt ciumenta pprt, q ódio",ódio
27,@fonsecguilherme @rubala3 @grrrreo @FunkyBlackCat Carai cê pegou um ódio profundo memo,ódio
28,@fig4yredo @poxamarquinhos kkkkkkkkkkkk que odio,ódio
29,@slyjubspottah PARA VEI ODIO. AKKAKAKAKAK BLOCK,ódio
30,RT @AndhreGhuterres: Estourou a revolta! https://t.co/Vpa8jCUlQO,revolta
31,"Saiu com várias erros de português pontuação, mas representa minha revolta escrevendo isso.",revolta
32,"RT @CormacWalter: Pow, eu entendo a revolta de algumas meninas por acharem que só existe macho escroto nessa cidade ( a maioria pode até se…",revolta
33,"RT @fj82guimaraes: Só não vê quem não quer e quem prefere a critica mais fácil e óbvia.

Zico: ""O nosso time (na década de 80) ganhou tudo…",revolta
34,"RT @FlaResenhaNews: Zico se revolta com goleada sofrida pelo Flamengo: ""O nosso time (na década de 80) ganhou tudo e tivemos cinco treinado…",revolta
35,"Falei com uma terceira pessoa, só essa semana, que me diz que está fazendo terapia. 
E o motivo é o mesmo: não é a… https://t.co/gCzVUGuvf8",revolta
36,"RT @aanalutp: @RickazevedoB é doido pq eu sendo branca me sinto estranha em lugares assim. isso pq quanto mais a gnt se informa, a gnt estu…",revolta
