Data,sepal_length,sepal_width,petal_length,petal_width,species
26/10/2018,5.1,3.5,1.4,0.2,setosa
24/10/2018,4.9,3.0,1.4,0.2,setosa
22/10/2018,4.7,3.2,1.3,0.2,setosa
19/10/2018,4.6,3.1,1.5,0.2,setosa
17/10/2018,5.0,3.6,1.4,0.2,setosa
15/10/2018,5.4,3.9,1.7,0.4,setosa
13/10/2018,4.6,3.4,1.4,0.3,setosa
10/10/2018,5.0,3.4,1.5,0.2,setosa
08/10/2018,4.4,2.9,1.4,0.2,setosa
05/10/2018,4.9,3.1,1.5,0.1,setosa
03/10/2018,5.4,3.7,1.5,0.2,setosa
01/10/2018,4.8,3.4,1.6,0.2,setosa
28/09/2018,4.8,3.0,1.4,0.1,setosa
26/09/2018,4.3,3.0,1.1,0.1,setosa
24/09/2018,5.8,4.0,1.2,0.2,setosa
21/09/2018,5.7,4.4,1.5,0.4,setosa
19/09/2018,5.4,3.9,1.3,0.4,setosa
17/09/2018,5.1,3.5,1.4,0.3,setosa
14/09/2018,5.7,3.8,1.7,0.3,setosa
12/09/2018,5.1,3.8,1.5,0.3,setosa
10/09/2018,5.4,3.4,1.7,0.2,setosa
08/09/2018,5.1,3.7,1.5,0.4,setosa
27/08/2018,4.6,3.6,1.0,0.2,setosa
24/08/2018,5.1,3.3,1.7,0.5,setosa
22/08/2018,4.8,3.4,1.9,0.2,setosa
20/08/2018,5.0,3.0,1.6,0.2,setosa
17/08/2018,5.0,3.4,1.6,0.4,setosa
15/08/2018,5.2,3.5,1.5,0.2,setosa
13/08/2018,5.2,3.4,1.4,0.2,setosa
10/08/2018,4.7,3.2,1.6,0.2,setosa
08/08/2018,4.8,3.1,1.6,0.2,setosa
06/08/2018,5.4,3.4,1.5,0.4,setosa
03/08/2018,5.2,4.1,1.5,0.1,setosa
01/08/2018,5.5,4.2,1.4,0.2,setosa
30/07/2018,4.9,3.1,1.5,0.1,setosa
27/07/2018,5.0,3.2,1.2,0.2,setosa
25/07/2018,5.5,3.5,1.3,0.2,setosa
23/07/2018,4.9,3.1,1.5,0.1,setosa
20/07/2018,4.4,3.0,1.3,0.2,setosa
18/07/2018,5.1,3.4,1.5,0.2,setosa
16/07/2018,5.0,3.5,1.3,0.3,setosa
13/07/2018,4.5,2.3,1.3,0.3,setosa
